,Tanggal,Pengguna,Retweet,Likes,Source,Tweet,Sentimen
0,2022-12-27 05:11:00+00:00,whoszahyra,0,0,Twitter for iPhone,btw gua gamon banget sama pildun ahajsgsja,Netral
1,2022-12-27 05:05:18+00:00,Box2boxID,0,1,Twitter for Android,Kapan yha? 😩 Tes dulu pas gelaran Pildun U-20 tahun depan ygy~ https://t.co/VCcM9jon8I https://t.co/i55qrzuziK,Netral
2,2022-12-27 05:04:38+00:00,low_lowi,0,0,Twitter Web App,"wow. peringkat 1, level dunia. tinggal timnas bola indo, jd juara aff &amp; juara pildun u-20, min😂. jk kjdian, pssi ga direformasi &amp; tragedi kanjuruhan ratusan tewas, diusut drama, bodo amat. dimaafkan &amp; dilupakan. yg penting sepakbola indo champion level kawasan &amp; dunia😂...",Positif
3,2022-12-27 04:58:17+00:00,Cowokco45874854,0,0,Twitter for Android,Iyadeh iya dodogy yg juara pildun,Netral
4,2022-12-27 04:58:11+00:00,reshadeco,22,0,Twitter for iPhone,RT : Cody Gakpo awalnya dekat dengan Manchester United namun subuh ini dikabarkan akan berlabuh ke Liverpool. Analisis Gakpo…,Netral
5,2022-12-27 04:52:30+00:00,HandyNug,22,0,Twitter for Android,RT : Cody Gakpo awalnya dekat dengan Manchester United namun subuh ini dikabarkan akan berlabuh ke Liverpool. Analisis Gakpo…,Netral
6,2022-12-27 04:43:05+00:00,SportlineIDN,0,0,Twitter Web App,Mana nih soccer mania yang kamu suka? bakat terpendam Neymar jadi penyanyi atau bakat asli jadi pemain sepakbola? | 77577sports #77577sports #neymar #neymarjr #timnasbrasil #pestabola #pildun #pildun2022 #infopildun #pestaboladunia #boladunia #duniabola #infopialadunia https://t.co/QdeYe9AgGf,Netral
7,2022-12-27 04:39:50+00:00,mimjiy,0,0,Twitter for Android,Mmf pesenan pildun byk bgt kak,Netral
8,2022-12-27 04:38:16+00:00,yab_____,0,1,Twitter for Android,"_prkh _UwU Gegara pildun market value pemain naik, Enzo sama Alvarez sih yang paling kentara, bahkan Enzo ditawar Madrid 120 juta kalo ngga salah",Netral
9,2022-12-27 04:37:11+00:00,T4ier1,0,0,Twitter for Android,3 GOL DI PILDUN. HADEH ENTE https://t.co/ExaOOogmNA,Netral
10,2022-12-27 04:37:03+00:00,AYACANS12,0,1,Twitter for Android,Nonton PILDUN Berujung Mesum💦 SKANDAL bokep viral terbaru ANAK SMA VIRAL PINK BANGET 🤤🤤💦 Bokep Jepang Indo Bokepbarat Bokeptante bokepkorea #tiktokhotgirl #kebayamerah16menit #SANGE_AAAAAAAAAA #sangekberat #SANGE_AAAAAAAAAAH link? DI BIO https://t.co/ivQ9tP2uHU,Negatif
11,2022-12-27 04:36:27+00:00,BunayaSyaher,0,0,Twitter for Android,"Coba jadi ketua PSSI aja dulu, mana tahu bisa bawa Timnas lolos Pildun (?)",Netral
12,2022-12-27 04:29:56+00:00,cuteswinr,132,0,Twitter for Android,"RT : GA PILDUN 6 pemenang @ 50.000 saldo apa saja. TEBAK SKOR FINAL PILDUN PERANCIS: VS ARGENTINA: retwet, like, komen di…",Netral
13,2022-12-27 04:29:03+00:00,Richardsen01,207,0,Twitter for Android,RT : 🔥 Abis nonton Final Pildun Enaknya nonton P4nd0r4 lagi 🔥 Link 🚀 https://t.co/0eMri4N1WZ https://t.co/By7YLLvcMP http…,Netral
14,2022-12-27 04:22:54+00:00,tibulessek,0,0,Twitter for Android,_ Menghibur diri ni fans ormas padahal dia topskor smtara di liga.y dan ditim pildun belanda,Netral
15,2022-12-27 04:21:36+00:00,lambygtersesat,0,0,Twitter for Android,oh ini yg sembarangan pegang trofi pildun,Netral
16,2022-12-27 04:20:13+00:00,muthijairoi,0,0,Twitter for Android,_ridwanulloh Faktanya menurut lu stadion itu layak kaga breh ? Bagaimana kalo pildun seperti itu maleh?,Netral
17,2022-12-27 04:18:37+00:00,euncze,132,0,Twitter for Android,"RT : GA PILDUN 6 pemenang @ 50.000 saldo apa saja. TEBAK SKOR FINAL PILDUN PERANCIS: VS ARGENTINA: retwet, like, komen di…",Netral
18,2022-12-27 04:16:23+00:00,unaaaww,547,0,Twitter for Android,"RT : chainsaw man few tweet — #yoshiden slight #akiangel gara-gara pildun, denji kena getahnya. https://t.co/ez5DKPufUP",Negatif
19,2022-12-27 04:15:11+00:00,nightefold,0,0,Twitter for Android,Wkwk jarang jarang ada yg cewek suka bola sampe paham bener. Yah paling cuma musim doang. Kayak pas Pildun kemarin.,Netral
20,2022-12-27 04:13:30+00:00,vidio__viral,0,1,Twitter for Android,Viral Nobar Pildun Berujung MESUM😱 Cek juga kumpulan bokp Viral Terbaru _viral bokep indo viral terbaru Vidio Indonesia colmek #SANGE_AAAAAAAAAAH #terlanjurcinta #gaduasange Link Full Vidio ada di profil bio:🤤 https://t.co/uA0pCYjNpB,Positif
21,2022-12-27 04:09:38+00:00,77577sports_idn,0,0,Twitter Web App,Menurut kamu mana nih GOAT sesungguhnya? Lionel Messi atau Cristiano Ronaldo? | 77577sports #77577sports #lionelmessi #leomessi #messi #cristianoronaldo #ronaldo #cr7 #pestabola #pildun #pildun2022 #infopildun #pestaboladunia #boladunia #duniabola #infopialadunia #qatarpildun https://t.co/1mXsa2LL0h,Netral
22,2022-12-27 04:09:16+00:00,jjhforlife,56,0,Twitter for Android,"RT : Udah mau final, masih ajaaa usaha yaa Grab. Nimbrung ngomongin pildun pake acara bikin billboard jersey segede gaban. Tet…",Netral
23,2022-12-27 04:07:27+00:00,agii_007,0,0,Twitter for Android,alvarez pindah ga? masa juara pildun cadangan 😁,Netral
24,2022-12-27 04:07:26+00:00,prayogayuliano,0,0,Twitter Web App,"Saya kasih contoh: Waktu pildun di negara eropa,afrika, orang barat mau miras, nokip, cat calling, orang islam yg juga nonton ga pernah protes Tp knapa Waktu pildun di Qatar, org barat protes ga ada miras, ga boleh dukung LGBT? Jd bkan soal acaranya, tp sdh terbntuk anti islamny",Netral
25,2022-12-27 04:02:29+00:00,ninuninu05,1,0,Twitter for Android,"RT _echo: Jelas Milan lah,, 2 ucl &amp; 1 pildun",Netral
26,2022-12-27 03:57:57+00:00,1404Stj,0,0,Twitter for Android,"Masy RI suka sepakbola Tp belum sesuai ekspektasi Masy Sdh lama Sepakbola Indonesia tertinggal dr bnyk Negara2 di Dunia. Indonesia peringkat FIFA sektr 150 Semoga Sepakbola Indonesia: 1.Bkembang lbh baik, Maju 2.Bprestasi Baik di AFF Piala Asia Pildun U20 Dll Demi RI tcinta.",Netral
27,2022-12-27 03:56:54+00:00,Van67033949,0,1,Twitter for Android,Nonton kaga jan bacod doang lu saka on fire di pildun bego,Netral
28,2022-12-27 03:56:42+00:00,RaraCantik6511,0,1,Twitter for Android,Nonton PILDUN Berujung Mesum💦 SKANDAL bokep viral terbaru ANAK SMA VIRAL PINK BANGET 🤤🤤💦 Bokep Jepang Indo Bokepbarat Bokeptante bokepkorea #tiktokhotgirl #kebayamerah16menit #SANGE_AAAAAAAAAA #sangekberat #SANGE_AAAAAAAAAAH link? DI BIO https://t.co/Pi5aXv1RFu,Negatif
29,2022-12-27 03:54:41+00:00,nomnomluvies,0,0,Twitter for Android,Gua tebak yg nge-twist dan bikin fitnah lagi ke dia pasti ga jauh² dari amerika latin yg negaranya inisial B. Mamam tuh gak lolos pildun kemarin. Joget² mulu sih mana merasa tersakiti mulu kaum birong satu,Netral
30,2022-12-27 03:52:52+00:00,kevinsetiawans,22,0,Twitter for Android,RT : Cody Gakpo awalnya dekat dengan Manchester United namun subuh ini dikabarkan akan berlabuh ke Liverpool. Analisis Gakpo…,Netral
31,2022-12-27 03:50:21+00:00,Starlog20,0,1,Twitter for Android,Kualitas rumput bagus awalnya bang cuman dipake tiap hari dan per hari 2-3 match dan pula dipake saat ujan. Gmn tanahnya ga gampang ambrol? Orang lapangan pildun katar aja pd ambrol klo lu cermati tp karna ga main tiap hari dan ga saat ujan jdi ada waktu recovery. Overuse noway,Positif
32,2022-12-27 03:48:59+00:00,itnairbelive,0,0,Twitter Web App,Ngikutin YouTube PSSI dan kecewa liat gaya main Timnas. Apa efek habis Pildun ya makanya kek gini? Gaperlu optimis juara deh hikss,Positif
33,2022-12-27 03:47:29+00:00,tomatonna6,0,0,Twitter for Android,"aku tau mungkin gaada yang nanya cuman hiburanku selama hiat nge fangirl kemarin itu pildun, terus kalau gabut cape nugas war sama fans bola lain😭😭",Netral
34,2022-12-27 03:45:05+00:00,bedepeee,0,0,Twitter for iPhone,Aneh bgt pdhl kmaren tempo pildun pep lijnders bilang ga bakal sign pemaen baru,Netral
35,2022-12-27 03:42:17+00:00,sselesser,0,0,Twitter Web App,"pas pildun dengan angkuhnya yakin gakpo ke emyu. eh ditikung ipul, reaksi admin utdfvckusid: tahap 1 masih denial tahap 2 menerima kenyataan tahap 3 menghibur diri 🤡",Netral
36,2022-12-27 03:42:12+00:00,___breeh,0,0,Twitter for Android,Punya pelatih senegara ama gakpo gk menjamin dia bakal gabung. Punya kapten timnas nya lebih satsetsatset karena udh diajakin dri TC pildun. Poetic.,Positif
37,2022-12-27 03:39:57+00:00,siskidipappap,0,0,Twitter for Android,"jansen ga gacor di pildun, trs yg incer spurs doank, ni jls2 kok si ETH pgn.. atw kau mau mengakui klo ETH incer pemain ga objektif jg??",Netral
38,2022-12-27 03:38:25+00:00,CFCpann,0,0,Twitter for Android,_Mhmmd19 _MARG Jadi pemain2 yg loe sebut bukan pemain yg ada gitu? Cuman mau kasih tau pulisic dan ziyech udah gak pake hati lagi main boss. Loe bisa berkomentar tentang kedua pemain itu karena loe liat performnya di pildun. Negara dan club itu sudah berbeda.,Positif
39,2022-12-27 03:36:06+00:00,fhrizall,0,0,Twitter for Android,"_ _RedsIndo anjing foto si martinez diganti trophy pildun, padahal minim kontribusi 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",Netral
40,2022-12-27 03:36:03+00:00,Kodeajadulu,56,0,Twitter Web App,"RT : Udah mau final, masih ajaaa usaha yaa Grab. Nimbrung ngomongin pildun pake acara bikin billboard jersey segede gaban. Tet…",Netral
41,2022-12-27 03:34:34+00:00,bismilah_menang,56,0,Twitter for Android,"RT : Udah mau final, masih ajaaa usaha yaa Grab. Nimbrung ngomongin pildun pake acara bikin billboard jersey segede gaban. Tet…",Netral
42,2022-12-27 03:34:23+00:00,farisnyaleo,0,0,Twitter for iPhone,Ntah kenapa yakin kali sama martial habis pildun ni 👀,Netral
43,2022-12-27 03:32:28+00:00,_shodek,56,0,Twitter for Android,"RT : Udah mau final, masih ajaaa usaha yaa Grab. Nimbrung ngomongin pildun pake acara bikin billboard jersey segede gaban. Tet…",Netral
